Node,Feature,Threshold,Value
0,3,0.0,"[[714325.77142483, 903529.9702461362, 341748.85383558273]]"
1,4,-1.0016251802444458,"[[706362.7886188626, 13996.384814500809, 156907.49249976873]]"
2,2,18.30564308166504,"[[229362.43818473816, 250.57744693756104, 105572.66422760487]]"
3,3,-1.6064448356628418,"[[214508.7431703806, 186.78546261787415, 76928.77331119776]]"
4,2,6.007843494415283,"[[117073.25887703896, 0.0, 22365.178302645683]]"
5,1,6.473449230194092,"[[29362.989746928215, 0.0, 11232.210327744484]]"
6,0,4.5,"[[12600.747411966324, 0.0, 776.0292414426804]]"
7,1,4.803663969039917,"[[7905.986127138138, 0.0, 746.1546188592911]]"
8,-2,-2.0,"[[7705.333539962769, 0.0, 426.07886469364166]]"
9,-2,-2.0,"[[200.65258717536926, 0.0, 320.0757541656494]]"
10,-2,-2.0,"[[4694.761284828186, 0.0, 29.874622583389282]]"
11,1,26.32129955291748,"[[16762.24233496189, 0.0, 10456.181086301804]]"
12,3,-1.859855830669403,"[[15851.841175317764, 0.0, 7542.631866812706]]"
13,2,2.3440619707107544,"[[6861.4000651836395, 0.0, 1076.718213915825]]"
14,-2,-2.0,"[[2137.998527765274, 0.0, 886.9116463661194]]"
15,1,22.324785232543945,"[[4723.4015374183655, 0.0, 189.8065675497055]]"
16,-2,-2.0,"[[4417.119257926941, 0.0, 45.85415172576904]]"
17,-2,-2.0,"[[306.28227949142456, 0.0, 143.95241582393646]]"
18,0,6.5,"[[8990.441110134125, 0.0, 6465.913652896881]]"
19,1,7.496044635772705,"[[363.78908705711365, 0.0, 1254.425258755684]]"
20,-2,-2.0,"[[337.25102853775024, 0.0, 343.4502491950989]]"
21,-2,-2.0,"[[26.538058519363403, 0.0, 910.975009560585]]"
22,1,9.686565399169922,"[[8626.652023077011, 0.0, 5211.488394141197]]"
23,-2,-2.0,"[[1642.1098670959473, 0.0, 236.88187074661255]]"
24,0,25.5,"[[6984.542155981064, 0.0, 4974.606523394585]]"
25,1,22.815052032470703,"[[6110.063517808914, 0.0, 4897.318690538406]]"
26,0,8.5,"[[5820.666597127914, 0.0, 4042.351485967636]]"
27,-2,-2.0,"[[150.06418991088867, 0.0, 599.2618094682693]]"
28,1,11.816807270050049,"[[5670.602407217026, 0.0, 3443.0896764993668]]"
29,-2,-2.0,"[[1357.2914426326752, 0.0, 204.74876713752747]]"
30,0,12.5,"[[4313.310964584351, 0.0, 3238.3409093618393]]"
31,-2,-2.0,"[[458.83100414276123, 0.0, 1201.2579307556152]]"
32,1,15.660264492034912,"[[3854.4799604415894, 0.0, 2037.082978606224]]"
33,-2,-2.0,"[[1443.589653968811, 0.0, 111.21370136737823]]"
34,0,21.0,"[[2410.8903064727783, 0.0, 1925.8692772388458]]"
35,-2,-2.0,"[[1486.9615433216095, 0.0, 1801.296245098114]]"
36,-2,-2.0,"[[923.9287631511688, 0.0, 124.57303214073181]]"
37,-2,-2.0,"[[289.39692068099976, 0.0, 854.9672045707703]]"
38,-2,-2.0,"[[874.4786381721497, 0.0, 77.28783285617828]]"
39,1,28.391783714294434,"[[910.4011596441269, 0.0, 2913.5492194890976]]"
40,0,28.5,"[[901.5563331842422, 0.0, 1614.7751797437668]]"
41,-2,-2.0,"[[371.5344352722168, 0.0, 1424.4067051410675]]"
42,-2,-2.0,"[[530.0218979120255, 0.0, 190.36847460269928]]"
43,-2,-2.0,"[[8.844826459884644, 0.0, 1298.7740397453308]]"
44,1,20.074320793151855,"[[87710.26913011074, 0.0, 11132.9679749012]]"
45,1,4.4045491218566895,"[[61186.67468357086, 0.0, 10700.535269379616]]"
46,0,0.5,"[[20013.74774312973, 0.0, 889.1061112880707]]"
47,-2,-2.0,"[[4.477627754211426, 0.0, 124.4866851568222]]"
48,-2,-2.0,"[[20009.27011537552, 0.0, 764.6194261312485]]"
49,0,7.5,"[[41172.92694044113, 0.0, 9811.429158091545]]"
50,2,6.37847638130188,"[[625.6683819293976, 0.0, 1202.194212436676]]"
51,-2,-2.0,"[[299.585111618042, 0.0, 44.67840528488159]]"
52,1,5.153302907943726,"[[326.0832703113556, 0.0, 1157.5158071517944]]"
53,-2,-2.0,"[[313.4108085632324, 0.0, 365.65083968639374]]"
54,-2,-2.0,"[[12.672461748123169, 0.0, 791.8649674654007]]"
55,2,11.192882061004639,"[[40547.258558511734, 0.0, 8609.234945654869]]"
56,0,10.5,"[[18526.890142202377, 0.0, 1556.6619359254837]]"
57,1,11.90285348892212,"[[7486.255110740662, 0.0, 1170.3946051597595]]"
58,1,6.151989936828613,"[[7450.439611911774, 0.0, 868.6245392560959]]"
59,-2,-2.0,"[[2584.493384003639, 0.0, 30.713854670524597]]"
60,0,8.5,"[[4865.9462279081345, 0.0, 837.9106845855713]]"
61,2,8.042169570922852,"[[988.5473656654358, 0.0, 603.1240555047989]]"
62,-2,-2.0,"[[840.7547545433044, 0.0, 195.39521420001984]]"
63,-2,-2.0,"[[147.79261112213135, 0.0, 407.72884130477905]]"
64,-2,-2.0,"[[3877.3988622426987, 0.0, 234.7866290807724]]"
65,-2,-2.0,"[[35.81549882888794, 0.0, 301.77006590366364]]"
66,3,-1.692327082157135,"[[11040.635031461716, 0.0, 386.2673307657242]]"
67,-2,-2.0,"[[9497.381882190704, 0.0, 67.43946540355682]]"
68,-2,-2.0,"[[1543.2531492710114, 0.0, 318.82786536216736]]"
69,1,7.835973501205444,"[[22020.368416309357, 0.0, 7052.573009729385]]"
70,-2,-2.0,"[[6064.072284698486, 0.0, 562.3437563180923]]"
71,0,11.5,"[[15956.29613161087, 0.0, 6490.229253411293]]"
72,1,8.901000022888184,"[[297.30217719078064, 0.0, 1539.3861793279648]]"
73,-2,-2.0,"[[291.1401469707489, 0.0, 434.5145505666733]]"
74,-2,-2.0,"[[6.162030220031738, 0.0, 1104.8716287612915]]"
75,2,14.703965187072754,"[[15658.99395442009, 0.0, 4950.843074083328]]"
76,0,14.5,"[[8524.200238347054, 0.0, 1544.0488623976707]]"
77,1,12.427249908447266,"[[4657.413041949272, 0.0, 1343.7412937283516]]"
78,-2,-2.0,"[[3587.221529483795, 0.0, 401.1698743700981]]"
79,-2,-2.0,"[[1070.191512465477, 0.0, 942.5714193582535]]"
80,-2,-2.0,"[[3866.7871963977814, 0.0, 200.30756866931915]]"
81,3,-1.8944579362869263,"[[7134.793716073036, 0.0, 3406.7942116856575]]"
82,-2,-2.0,"[[2115.0618411302567, 0.0, 234.45055747032166]]"
83,0,15.5,"[[5019.7318749427795, 0.0, 3172.343654215336]]"
84,1,11.361485958099365,"[[1395.170206785202, 0.0, 1790.3969775438309]]"
85,-2,-2.0,"[[1166.3586840629578, 0.0, 442.321977853775]]"
86,-2,-2.0,"[[228.81152272224426, 0.0, 1348.0749996900558]]"
87,2,17.314422607421875,"[[3624.5616681575775, 0.0, 1381.946676671505]]"
88,4,-1.260063648223877,"[[3187.790982365608, 0.0, 801.2088309526443]]"
89,-2,-2.0,"[[1288.6412469148636, 0.0, 689.807723402977]]"
90,-2,-2.0,"[[1899.1497354507446, 0.0, 111.40110754966736]]"
91,-2,-2.0,"[[436.7706857919693, 0.0, 580.7378457188606]]"
92,-2,-2.0,"[[26523.59444653988, 0.0, 432.43270552158356]]"
93,1,6.879497766494751,"[[97435.48429334164, 186.78546261787415, 54563.595008552074]]"
94,3,-1.1311814188957214,"[[28720.752497434616, 151.4268388748169, 8320.107095062733]]"
95,0,8.5,"[[25162.954474031925, 30.984778881072998, 5859.827928245068]]"
96,1,2.4771838188171387,"[[20586.792620539665, 30.984778881072998, 5652.575194239616]]"
97,0,2.5,"[[10174.222571849823, 17.393970489501953, 1503.6796408891678]]"
98,2,1.4788877367973328,"[[2229.002443552017, 17.393970489501953, 949.142816066742]]"
99,-2,-2.0,"[[1158.3327004909515, 0.0, 105.85120344161987]]"
100,1,0.34715577960014343,"[[1070.6697430610657, 17.393970489501953, 843.2916126251221]]"
101,-2,-2.0,"[[764.3554595708847, 0.0, 156.7307692170143]]"
102,-2,-2.0,"[[306.31428349018097, 17.393970489501953, 686.5608434081078]]"
103,-2,-2.0,"[[7945.220128297806, 0.0, 554.5368248224258]]"
104,0,5.5,"[[10412.570048689842, 13.590808391571045, 4148.895553350449]]"
105,2,3.5832287073135376,"[[1247.0359036922455, 10.691442489624023, 1685.9540388584137]]"
106,0,2.5,"[[1015.4209427833557, 0.0, 687.0447524785995]]"
107,-2,-2.0,"[[28.197181224822998, 0.0, 321.51873683929443]]"
108,-2,-2.0,"[[987.2237615585327, 0.0, 365.5260156393051]]"
109,-2,-2.0,"[[231.61496090888977, 10.691442489624023, 998.9092863798141]]"
110,1,5.049495697021484,"[[9165.534144997597, 2.8993659019470215, 2462.941514492035]]"
111,0,6.5,"[[6675.142090797424, 0.0, 1008.0939282774925]]"
112,-2,-2.0,"[[3119.897779107094, 0.0, 864.2513942718506]]"
113,-2,-2.0,"[[3555.2443116903305, 0.0, 143.84253400564194]]"
114,2,6.91252064704895,"[[2490.3920542001724, 2.8993659019470215, 1454.8475862145424]]"
115,0,6.5,"[[1886.0462452173233, 0.0, 431.39922231435776]]"
116,-2,-2.0,"[[925.1638283729553, 0.0, 428.4769732952118]]"
117,-2,-2.0,"[[960.882416844368, 0.0, 2.9222490191459656]]"
118,4,-1.439770519733429,"[[604.3458089828491, 2.8993659019470215, 1023.4483639001846]]"
119,-2,-2.0,"[[60.17776417732239, 2.8993659019470215, 675.9209438562393]]"
120,-2,-2.0,"[[544.1680448055267, 0.0, 347.5274200439453]]"
121,-2,-2.0,"[[4576.16185349226, 0.0, 207.2527340054512]]"
122,0,5.5,"[[3557.798023402691, 120.4420599937439, 2460.279166817665]]"
123,-2,-2.0,"[[1117.0938202142715, 96.02418088912964, 1482.6121507883072]]"
124,1,2.4770442247390747,"[[2440.7042031884193, 24.417879104614258, 977.6670160293579]]"
125,-2,-2.0,"[[694.5157378315926, 0.0, 6.53186821937561]]"
126,-2,-2.0,"[[1746.1884653568268, 24.417879104614258, 971.1351478099823]]"
127,2,8.171909809112549,"[[68714.73179590702, 35.35862374305725, 46243.48791348934]]"
128,1,20.616877555847168,"[[26163.69251191616, 0.0, 27792.892712950706]]"
129,0,18.5,"[[20087.333280682564, 0.0, 16402.774088978767]]"
130,0,6.5,"[[17061.714079737663, 0.0, 15993.470403194427]]"
131,-2,-2.0,"[[107.702561378479, 0.0, 1425.7936922311783]]"
132,1,15.668521881103516,"[[16954.011518359184, 0.0, 14567.67671096325]]"
133,0,12.5,"[[14490.31094288826, 0.0, 9770.210225224495]]"
134,1,11.920622825622559,"[[8831.799177646637, 0.0, 8541.551616430283]]"
135,0,9.5,"[[7456.026589155197, 0.0, 4741.427329182625]]"
136,1,9.016035079956055,"[[2182.98459815979, 0.0, 2970.4306148290634]]"
137,4,-1.6192967295646667,"[[2014.409815788269, 0.0, 1470.5090614557266]]"
138,-2,-2.0,"[[299.15762054920197, 0.0, 939.1475956439972]]"
139,-2,-2.0,"[[1715.252195239067, 0.0, 531.3614658117294]]"
140,-2,-2.0,"[[168.574782371521, 0.0, 1499.9215533733368]]"
141,1,10.383979320526123,"[[5273.041990995407, 0.0, 1770.9967143535614]]"
142,-2,-2.0,"[[3183.9719051122665, 0.0, 255.01542353630066]]"
143,0,10.5,"[[2089.0700858831406, 0.0, 1515.9812908172607]]"
144,4,-1.459106206893921,"[[680.6852555274963, 0.0, 1246.3785817623138]]"
145,-2,-2.0,"[[135.39010214805603, 0.0, 1065.7510792016983]]"
146,-2,-2.0,"[[545.2951533794403, 0.0, 180.62750256061554]]"
147,-2,-2.0,"[[1408.3848303556442, 0.0, 269.6027090549469]]"
148,2,3.9859458208084106,"[[1375.7725884914398, 0.0, 3800.124287247658]]"
149,-2,-2.0,"[[154.92811179161072, 0.0, 2011.3579742908478]]"
150,0,10.5,"[[1220.844476699829, 0.0, 1788.76631295681]]"
151,-2,-2.0,"[[13.07548975944519, 0.0, 842.6333726644516]]"
152,1,13.735533237457275,"[[1207.768986940384, 0.0, 946.1329402923584]]"
153,-2,-2.0,"[[1126.9205737113953, 0.0, 312.1194578409195]]"
154,-2,-2.0,"[[80.84841322898865, 0.0, 634.0134824514389]]"
155,2,5.02638578414917,"[[5658.511765241623, 0.0, 1228.6586087942123]]"
156,1,13.019046306610107,"[[2867.317280769348, 0.0, 1070.1087629795074]]"
157,-2,-2.0,"[[910.6412134170532, 0.0, 22.96813428401947]]"
158,0,15.5,"[[1956.676067352295, 0.0, 1047.140628695488]]"
159,-2,-2.0,"[[978.0633993148804, 0.0, 961.6527488231659]]"
160,-2,-2.0,"[[978.6126680374146, 0.0, 85.48787987232208]]"
161,-2,-2.0,"[[2791.194484472275, 0.0, 158.5498458147049]]"
162,0,14.5,"[[2463.7005754709244, 0.0, 4797.466485738754]]"
163,2,6.90938925743103,"[[259.75131142139435, 0.0, 1994.7614699602127]]"
164,-2,-2.0,"[[29.156280279159546, 0.0, 1597.6312260627747]]"
165,-2,-2.0,"[[230.5950311422348, 0.0, 397.13024389743805]]"
166,1,16.874293327331543,"[[2203.94926404953, 0.0, 2802.7050157785416]]"
167,-2,-2.0,"[[954.273549079895, 0.0, 360.5740327835083]]"
168,-2,-2.0,"[[1249.675714969635, 0.0, 2442.1309829950333]]"
169,-2,-2.0,"[[3025.6192009449005, 0.0, 409.3036857843399]]"
170,4,-1.3610440492630005,"[[6076.359231233597, 0.0, 11390.118623971939]]"
171,3,-1.5377828478813171,"[[3100.87151992321, 0.0, 8361.132940888405]]"
172,-2,-2.0,"[[1206.1909843683243, 0.0, 1374.9131741523743]]"
173,1,26.3289794921875,"[[1894.6805355548859, 0.0, 6986.219766736031]]"
174,0,23.0,"[[1681.3298144340515, 0.0, 4336.620624303818]]"
175,-2,-2.0,"[[220.75130212306976, 0.0, 2156.8459372520447]]"
176,1,22.562665939331055,"[[1460.5785123109818, 0.0, 2179.774687051773]]"
177,-2,-2.0,"[[673.2654381990433, 0.0, 155.34272575378418]]"
178,-2,-2.0,"[[787.3130741119385, 0.0, 2024.431961297989]]"
179,-2,-2.0,"[[213.35072112083435, 0.0, 2649.599142432213]]"
180,0,21.0,"[[2975.4877113103867, 0.0, 3028.9856830835342]]"
181,-2,-2.0,"[[180.40547966957092, 0.0, 803.7112412452698]]"
182,1,27.56045913696289,"[[2795.0822316408157, 0.0, 2225.2744418382645]]"
183,0,29.0,"[[2283.8722690343857, 0.0, 1005.5019239187241]]"
184,-2,-2.0,"[[1587.0542895793915, 0.0, 993.2471821308136]]"
185,-2,-2.0,"[[696.8179794549942, 0.0, 12.254741787910461]]"
186,2,3.8242645263671875,"[[511.20996260643005, 0.0, 1219.7725179195404]]"
187,-2,-2.0,"[[22.79840862751007, 0.0, 765.9872577190399]]"
188,-2,-2.0,"[[488.41155397892, 0.0, 453.7852602005005]]"
189,0,20.5,"[[42551.03928399086, 35.35862374305725, 18450.595200538635]]"
